owner_id,considered,mean_top5,show,participate_indices,invited_user_ids,invited_scores,owner_application_date,owner_number_of_shows,error_type,error
67493756-d9e7-3e45-7be7-59f2fae9e6dd,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
6a02930b-58a3-acbc-62bf-925e5a29c855,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
6f567966-5eda-5793-9b57-d53f237ee162,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
7777dd50-6423-2a60-3deb-f3dd7fdf59d9,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
79e7b7b8-3a06-9669-33b7-bf5477ffdf40,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
7c1e9b00-4f70-3069-1b9a-fec03e9dd861,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
7e78ec3d-e75a-cc30-b781-d48a32dbfd76,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
8065bd48-b3cf-24a8-2424-5ef22402cd59,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
85becdd8-42db-f451-4378-3e13490a46b3,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
914392ff-7515-1b16-d7f0-ed141542ccd3,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
947411fc-0036-c8e4-274e-f5147e61a9a1,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
add3e94d-fd44-c428-ea68-82c436fb0287,2,0.667,0,[],[],[],2025-08-03,0,,
bd2b075b-5f85-817a-31a1-87011f6c6478,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
c1a31b6a-4102-7e87-7ba0-dc2eece40861,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
c58c0788-bc38-6b14-8424-7d95c915da6b,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
d0fb6137-5d63-e15f-584a-a476636d50ad,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
d602ed24-fd77-37b8-0d5f-06855291b107,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
e082abde-d691-74f6-b75b-5129d5c10f4f,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
e2f98e41-9501-c9f2-ef95-2f777cca78bf,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
e868e198-497b-1124-3a19-b9f459e89cd0,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
ef031ced-6b93-12c4-7699-0ff720cd5db9,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
f238770a-5476-bdcf-2e8d-d71117f0a18c,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
fab31824-dcfa-58b7-4aec-19a962769d7f,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
fcf93e92-a9a7-79d7-e11a-e4c75a50ae94,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
ffeb7990-1d64-a7ee-4164-d3bded8b08a3,,,,,,,,,generic_exception,'NoneType' object has no attribute 'get'
